host_id,target_id,output,tested_points,valid_points,valid_fraction,rmse,mae_scalar,aepe
10,11,active,1572,1572,1.0,0.25167163247190727,0.16251025569114783,0.1625102556911478
10,11,active_nonfinal,1572,1572,1.0,0.25167163247190727,0.16251025569114783,0.1625102556911478
10,11,all,6674,6674,1.0,0.3414647057359913,0.16631578128872254,0.16631578128872238
10,11,all_final,763,763,1.0,0.26816151881117994,0.1655799298476484,0.16557992984764838
10,11,all_nonfinal,5911,5911,1.0,0.34980919795168863,0.16641076600358276,0.16641076600358262
10,11,immature,4055,4055,1.0,0.3585482693527382,0.16151348041708272,0.1615134804170826
10,11,immature_final,315,315,1.0,0.20952702324734493,0.16671266338312687,0.16671266338312693
10,11,immature_nonfinal,3740,3740,1.0,0.3683570538671964,0.16107558131700137,0.16107558131700128
10,11,marginalized,889,889,1.0,0.24367722857649504,0.15455969437000008,0.15455969436999994
10,11,marginalized_final,409,409,1.0,0.23164262582901615,0.14755223089664793,0.14755223089664793
10,11,marginalized_nonfinal,480,480,1.0,0.2534812651269076,0.1605306372045854,0.16053063720458532
10,11,outlier,158,158,1.0,0.8133462852216331,0.393573867014217,0.393573867014217
10,11,outlier_final,39,39,1.0,0.6996802400059945,0.34549064285491415,0.3454906428549142
10,11,outlier_nonfinal,119,119,1.0,0.8472870164350327,0.40933223459583723,0.40933223459583723
13,14,active,2020,2020,1.0,0.1375137606092492,0.07840243949802346,0.07840243949802343
13,14,active_nonfinal,2020,2020,1.0,0.1375137606092492,0.07840243949802346,0.07840243949802343
13,14,all,14398,14398,1.0,0.25348008356223484,0.08388119633411102,0.08388119633411098
13,14,all_final,531,531,1.0,0.18046919740406675,0.08690468835000459,0.08690468835000455
13,14,all_nonfinal,13867,13867,1.0,0.2558620137361904,0.08376541972342101,0.08376541972342097
13,14,immature,9782,9782,1.0,0.2706749949547516,0.07723261946524061,0.07723261946524054
13,14,immature_final,69,69,1.0,0.07715896785991534,0.054048028080433325,0.054048028080433366
13,14,immature_nonfinal,9713,9713,1.0,0.2715568548698484,0.07739732005265455,0.07739732005265448
13,14,marginalized,1952,1952,1.0,0.17592531722601412,0.09360361503454001,0.09360361503454019
13,14,marginalized_final,382,382,1.0,0.14527642997560908,0.07982818157519302,0.07982818157519304
13,14,marginalized_nonfinal,1570,1570,1.0,0.18260612646238888,0.09695534470426666,0.09695534470426681
13,14,outlier,644,644,1.0,0.41293640347615346,0.17258508831695543,0.1725850883169553
13,14,outlier_final,80,80,1.0,0.3320620166957789,0.14903387768223472,0.1490338776822347
13,14,outlier_nonfinal,564,564,1.0,0.4231580740571509,0.17592568557010738,0.1759256855701072
16,17,active,342,342,1.0,0.24067121278370462,0.19367482257878388,0.1936748225787838
16,17,active_nonfinal,342,342,1.0,0.24067121278370462,0.19367482257878388,0.1936748225787838
16,17,all,5331,5331,1.0,0.3252785456207178,0.13756343849062969,0.13756343849062966
16,17,all_final,691,691,1.0,0.19360725390220077,0.12893355465299636,0.12893355465299638
16,17,all_nonfinal,4640,4640,1.0,0.34055963284902097,0.13884862162248404,0.138848621622484
16,17,immature,4671,4671,1.0,0.33528625722407696,0.13063551349805955,0.13063551349805957
16,17,immature_final,549,549,1.0,0.17761203394731448,0.11595038102279921,0.11595038102279928
16,17,immature_nonfinal,4122,4122,1.0,0.35098131191703447,0.13259139358755914,0.1325913935875592
16,17,marginalized,268,268,1.0,0.223658422716342,0.17462087104357268,0.17462087104357268
16,17,marginalized_final,126,126,1.0,0.21833141201428408,0.17110031889286664,0.17110031889286667
16,17,marginalized_nonfinal,142,142,1.0,0.22828114375613903,0.17774474126180498,0.17774474126180495
16,17,outlier,50,50,1.0,0.3387489541069695,0.20234048564978313,0.20234048564978305
16,17,outlier_final,16,16,1.0,0.40126884139016616,0.2423554314501589,0.24235543145015884
16,17,outlier_nonfinal,34,34,1.0,0.30492408728859366,0.18350992292019458,0.18350992292019447
20,21,active,216,216,1.0,0.3482285747889264,0.25993052623255336,0.2599305262325534
20,21,active_nonfinal,216,216,1.0,0.3482285747889264,0.25993052623255336,0.2599305262325534
20,21,all,5172,5172,1.0,0.33387776917136475,0.17442190289341086,0.17442190289341092
20,21,all_final,626,626,1.0,0.2542861738883301,0.1914494668164067,0.1914494668164067
20,21,all_nonfinal,4546,4546,1.0,0.34339578430180223,0.17207714816050415,0.1720771481605042
20,21,immature,4716,4716,1.0,0.33482948898147846,0.1678298966583236,0.16782989665832357
20,21,immature_final,519,519,1.0,0.24048457761009204,0.18207820512068137,0.18207820512068137
20,21,immature_nonfinal,4197,4197,1.0,0.34470681073791287,0.16606795429664578,0.16606795429664575
20,21,marginalized,160,160,1.0,0.32034399596168445,0.22888191535018598,0.22888191535018607
20,21,marginalized_final,78,78,1.0,0.32391405133664253,0.23221054139480024,0.23221054139480024
20,21,marginalized_nonfinal,82,82,1.0,0.31691076940719254,0.22571566130774828,0.22571566130774837
20,21,outlier,80,80,1.0,0.2554129501568236,0.2232273625225499,0.22322736252254982
20,21,outlier_final,29,29,1.0,0.28033530551643815,0.24952950140146585,0.24952950140146585
20,21,outlier_nonfinal,51,51,1.0,0.24009039909323196,0.20827124433649963,0.20827124433649957
26,27,active,1592,1592,1.0,0.11532129093071103,0.09673312656341496,0.096733126563415
26,27,active_nonfinal,1592,1592,1.0,0.11532129093071103,0.09673312656341496,0.096733126563415
26,27,all,17628,17628,1.0,0.11112094242455256,0.08279120636679332,0.08279120636679335
26,27,all_final,400,400,1.0,0.12094667098609307,0.09372793765425422,0.09372793765425427
26,27,all_nonfinal,17228,17228,1.0,0.11088246636682095,0.0825372771518535,0.08253727715185352
26,27,immature,9791,9791,1.0,0.10158825600474987,0.07293882467293564,0.07293882467293565
26,27,immature_nonfinal,9791,9791,1.0,0.10158825600474987,0.07293882467293564,0.07293882467293565
26,27,marginalized,4621,4621,1.0,0.10378915978007355,0.08340307936667435,0.0834030793666744
26,27,marginalized_final,316,316,1.0,0.10420957861404034,0.08516932930029116,0.08516932930029121
26,27,marginalized_nonfinal,4305,4305,1.0,0.10375823265792901,0.08327343128792337,0.08327343128792344
26,27,outlier,1624,1624,1.0,0.16770147398232535,0.12678238067657638,0.12678238067657632
26,27,outlier_final,84,84,1.0,0.1697194402737413,0.125924607176306,0.125924607176306
26,27,outlier_nonfinal,1540,1540,1.0,0.16759070426480252,0.12682916832204574,0.12682916832204566
35,36,active,166,166,1.0,0.2713607252695408,0.22148379556439216,0.22148379556439224
35,36,active_nonfinal,166,166,1.0,0.2713607252695408,0.22148379556439216,0.22148379556439224
35,36,all,3812,3812,1.0,0.3717649177778983,0.16379871644059127,0.1637987164405912
35,36,all_final,643,643,1.0,0.25465489851299766,0.15982205104110403,0.15982205104110409
35,36,all_nonfinal,3169,3169,1.0,0.3912724558738006,0.16460559427330496,0.16460559427330496
35,36,immature,3380,3380,1.0,0.3838049337901149,0.15780664847205997,0.15780664847205994
35,36,immature_final,511,511,1.0,0.25574359552983417,0.14861745592664113,0.1486174559266411
35,36,immature_nonfinal,2869,2869,1.0,0.4023602385622016,0.15944334327537413,0.15944334327537413
35,36,marginalized,234,234,1.0,0.25154056967551025,0.20081710994599275,0.20081710994599267
35,36,marginalized_final,117,117,1.0,0.2515405696755103,0.20081710994599267,0.2008171099459926
35,36,marginalized_nonfinal,117,117,1.0,0.2515405696755103,0.20081710994599267,0.2008171099459926
35,36,outlier,32,32,1.0,0.24550729747931585,0.2267725451537627,0.22677254515376258
35,36,outlier_final,15,15,1.0,0.2412792930013662,0.22176379848234024,0.2217637984823401
35,36,outlier_nonfinal,17,17,1.0,0.2491783204183332,0.23119202751090015,0.23119202751090007
38,39,active,342,342,1.0,0.21967301685459084,0.11040780213021488,0.11040780213021488
38,39,active_nonfinal,342,342,1.0,0.21967301685459084,0.11040780213021488,0.11040780213021488
38,39,all,4908,4908,1.0,0.2800493706922628,0.0999478096307956,0.09994780963079569
38,39,all_final,596,596,1.0,0.27682064574849924,0.09849641035777482,0.09849641035777487
38,39,all_nonfinal,4312,4312,1.0,0.2804927180900382,0.10014842047650997,0.10014842047651006
38,39,immature,4103,4103,1.0,0.2837694875167965,0.09843122823375232,0.09843122823375229
38,39,immature_final,380,380,1.0,0.26653782405911997,0.09375655101266686,0.0937565510126668
38,39,immature_nonfinal,3723,3723,1.0,0.28546979780550463,0.09890836423805331,0.09890836423805326
38,39,marginalized,374,374,1.0,0.19102961531920157,0.09023586413607242,0.09023586413607246
38,39,marginalized_final,180,180,1.0,0.1920333070238531,0.08998312414273722,0.0899831241427373
38,39,marginalized_nonfinal,194,194,1.0,0.1900936154108478,0.09047036516081641,0.09047036516081644
38,39,outlier,89,89,1.0,0.5233489073867985,0.17048133381387723,0.17048133381387737
38,39,outlier_final,36,36,1.0,0.5782479393766748,0.19109469007576985,0.19109469007576999
38,39,outlier_nonfinal,53,53,1.0,0.4825097234457093,0.15647980880579923,0.15647980880579934
41,42,active,414,414,1.0,0.45685134377763303,0.1345205550286494,0.13452055502864946
41,42,active_nonfinal,414,414,1.0,0.45685134377763303,0.1345205550286494,0.13452055502864946
41,42,all,4948,4948,1.0,0.46863132640325944,0.12871776027067827,0.12871776027067816
41,42,all_final,620,620,1.0,0.3547045707936998,0.10893102265189578,0.10893102265189578
41,42,all_nonfinal,4328,4328,1.0,0.4827550846151554,0.1315522744397274,0.1315522744397273
41,42,immature,3917,3917,1.0,0.47973869816626524,0.12906232634513998,0.12906232634514
